child,parent,description
E123-G-1966,E,Spain in Ameria 
E123-K-1946,E,The Spanish onquistadores 
E123-L-2008,E,onquest : the destrution of the Amerian Indios 
E123-M-1991,E,Spain's empire in the New World : the role of ideas in institutional and soial hange 
E123-M-1984,E,Spain and Portugal and the New World
E123--1959,E,Spanish explorers in the southern United States
E123-T-1984,E,The onquest of Ameria : the question of the other 
E123-T-1992,E,The onquest of Ameria : the question of the other 
E123-T-1999,E,The onquest of Ameria : the question of the other 
E125-H-1896,E,The life of Las asas 
E125-u-1903,E,Hernando de Soto : together with an aount of one of his aptains
E1254--2008,E,Bartolom de Las asas in history: toward an understanding of the man and his work 
E125N9-L-1972,E,The marvellous adventure of abeza de Vaa : also
E125S7--1997,E,The Hernando de Soto expedition : history
E127-B-1959,E,Early English and Frenh voyages
E127-F-2003,E,Humanism and Ameria : an intelletual history of English olonisation
E127-F-1974,E,Undreamed shores : England's wasted empire in Ameria 
E127-M-1952,E,English disovery of Ameria to 1585 
E127-Q-1973,E,England and the disovery of Ameria
E127--1965,E,The Elizabethans' Ameria : a olletion of early reports by Englishmen on the New World 
E127--1966,E,The Elizabethans' Ameria : a olletion of early reports by Englishmen on the New World 
E129-P-1927,E,Henry Hudson 
E129R2-R-2010,E,The disoverie of the large
E129R2-R-2006,E,Sir Walter Ralegh's Disoverie of Guiana 
E131-B-1989,E,Les nouvelles Franes : Frane in Ameria
E137-M-2003,E,These daring disturbers of the publi peae : the struggle for property and power in early New Jersey 
E141-D-2009,E,Hidden histories of exploration : researhing the RGS-IBG olletions 
E141-F-1979,E,Disoverers
E141--1993,E,New World enounters 
E141-R-1993,E,Inventing Ameria : Spanish historiography and the formation of Euroentrism 
E15-F-1964,E,Atlas of Amerian history 
E152-M-1999,E,Into the Amerian woods : negotiators on the Pennsylvania frontier 
E155-K-1979,E,Niknames and Sobriquets of U.S. ities
E155-S-1970,E,Amerian plae-names : a onise and seletive ditionary for the ontinental United States of Ameria 
E155-S-1945,E,Names on the land : a historial aount of plae-naming in the United States 
E155-W-1956,E,Historial atlas of the United States 
E156-A-1964,E,How to visit Ameria and enjoy it 
E156--1955,E,Look at the U.S.A..
E157--1957,E,The Amerian Heritage book of great histori plaes.
E158-B-1971,E,The United States
E158-N-1959,E,Ameria's wonderlands : the seni national parks and monuments of the United States.
E159--2012,E,Born in the U.S.A. : birth
E159-B-1998,E,The unveiling of the national ions : a plea for patrioti ionolasm in a nationalist era 
E159--2002,E,Interpreting histori house museums 
E159-L-2000,E,Lies aross Ameria : what our histori sites get wrong 
E159-L-1998,E,Written in stone : publi monuments in hanging soieties 
E159-P-2010,E,Voies from the bak stairs : interpreting servants' lives at histori house museums 
E159--1992,E,Relaiming the past : landmarks of women's history 
E159-S-1964,E,olonials and patriots : histori plaes ommemorating our forebears 1700-1783 
E159-U-1968,E,Founders and frontiersmen : histori plaes ommemorating early nationhood and the westward movement
E16-A-1958,E,Program of the history of Amerian Indians 
E16-A-1960,E,Program of the history of Amerian Indians 
E16-H-1964,E,Do the Amerians have a ommon history A ritique of the Bolton theory 
E16-H-1955,E,The ritial method in historial researh and writing 
E16-K-1937,E,A history of Amerian history 
E16-S-1966,E,Historial interpretations and Amerian historianship 
E160-B-1966,E,An Amerian primer 
E160-B-1985,E,An Amerian primer 
E160-B-1963,E,A history of Amerian life and thought 
E160-B-1960,E,Ameria and the Image of Europe : Refletions on Amerian Thought 
E160-B-1964,E,Amerian ivilization : an introdution to the soial sienes 
E160-B-1940,E,Amerian studies in honor of William Kenneth Boyd 
E160-a-1967,E,The polite Amerians : 300 years of more or less good behaviour 
E160-h-1971,E,Life
E160-o-1965,E,Breakthrough to the Great Soiety 
E160-F-1975,E,Inventors of the Promised Land 
E160-F-1970,E,The Amerians : a soial history of the United States 1587-1914 
E160-K-1961,E,"The beer an by the highway : essays on what's ""Amerian"" about Ameria "
E160-N-1948,E,Ameria through British eyes 
E160-N-1977,E,The Newberry papers in family and ommunity history : thirteen papers presented at the onferene.
E160-N-1966,E,This almost hosen people : essays in the history of Amerian ideas 
E160-O-1965,E,The United States 
E160--2006,E,Amerian reformers
E160-P-1949,E,The Amerian people : their ivilization and harater 
E160-R-1956,E,Ameria remembers : our best-loved ustoms and traditions 
E160-S-1965,E,Seeds of liberty : the genesis of the Amerian mind 
E160-S-1950,E,The Amerian as reformer 
E160-T-1961,E,Ameria and her ommentators
E160-T-1962,E,Freedom's ferment : phases of Amerian soial history from the olonial period to the outbreak of the ivil War 
E160-W-1937,E,The saga of Amerian soiety : a reord of soial aspiration
E160-W-1906,E,The future in Ameria : a searh after realities 
E161-A-1969,E,The urgent west : an introdution to the idea of the United States 
E161--1959,E,Ameria's taste 1851-1959 : the ultural events of a entury reported by ontemporary observers in the pages of the New York Times 
E161-A-1960,E,Who killed soiety 
E161-A-1964,E,Individualism and nationalism in Amerian ideology 
E161-B-1964,E,ity on a hill : a history of ideas and myths in Ameria 
E161-B-1946,E,A literary and historial atlas of Ameria 
E161-B-1962,E,The Amerian identity : a ollege reader 
E161-B-1955,E,Freedom and responsibility in the Amerian way of life 
E161-B-1966,E,The promise of Ameria : an historial enquiry 
E161-B-1934,E,The Amerian adventure : a study of bourgeois ivilisation 
E161-B-1958,E,The genius of Amerian politis 
E161-B-1948,E,Amerian themes 
E161-B-1956,E,The Amerian harater 
E161-B-1944,E,The Amerian problem 
E161-B-1957,E,The Amerian Idea of Mission : onepts of National Purpose and Destiny 
E161-a-1960,E,Their majesties the mob 
E161-h-1958,E,The demorati vista : a dialogue on life and letters in ontemporary Ameria 
E161-h-1962,E,Europe views Ameria : a ritial evaluation 
E161-o-1962,E,Amerian thought : a ritial sketh 
E161-o-1951,E,Living ideas in Ameria 
E161-u-1996,E,The art of demoray : a onise history of popular ulture in the United States 
E161-u-1982,E,The growth of Amerian thought 
E161-D-1965,E,A history of rereation : Ameria learns to play 
E161-D-1963,E,Ameria learns to play : a history of popular rereation
E161-E-2018,E,Inventing Amerian tradition : from the Mayflower to ino de Mayo 
E161-E-1955,E,The deline of Amerian liberalism 
E161-W-1919,E,Our Ameria 
E161-G-1925,E,The Pageant of Ameria : a Pitorial History of the United States 
E161-G-1926,E,The Pageant of Ameria : a Pitorial History of the United States 
E161-G-1927,E,The Pageant of Ameria : a Pitorial History of the United States 
E161-G-1928,E,The Pageant of Ameria : a Pitorial History of the United States 
E161-G-1929,E,The Pageant of Ameria : a Pitorial History of the United States 
E161-G-1956,E,The ourse of Amerian demorati thought 
E161-G-1893,E,Soialism and the Amerian spirit 
E161-G-1960,E,Their brothers' keepers : moral stewardship in the United States
E161-H-1961,E,The dimensions of liberty 
E161-H-1949,E,This was Ameria 
E161-J-1927,E,Ameria and Frenh ulture
E161-J-1964,E,O strange new world : Amerian ulture : the formative years 
E161-J-1953,E,The pursuit of happiness 
E161-K-1956,E,ultural pluralism and the Amerian idea : an essay in soial philosophy 
E161-K-1961,E,Amerian nationalism : an interpretative essay 
E161-M-1967,E,The mahine in the garden : tehnology and the pastoral ideal in Ameria 
E161-M-2000,E,The mahine in the garden : tehnology and the pastoral ideal in Ameria 
E161--1985,E,Material ulture : a researh guide 
E161-M-1984,E,Errand into the wilderness 
E161-M-1965,E,The life of the mind in Ameria : from the Revolution to the ivil War 
E161-M-1963,E,Manifest destiny and mission in Amerian history : a reinterpretation 
E161-M-1952,E,The Amerian temper : patterns of our intelletual heritage 
E161-M-1926,E,The golden day : a study in Amerian experiene and ulture 
E161-N-1952,E,The irony of Amerian history 
E161-P-1959,E,The Amerian experiene : an interpretation of the history and ivilization of the Amerian people 
E161-P-1968,E,Radialism and reform : the Vrooman family and Amerian soial thought
E161-P-1944,E,Puritanism and demoray 
E161-P-1967,E,Johnny Appleseed : man and myth 
E161-S-1968,E,Santayana on Ameria : essays
E161-S-1942,E,Paths of Amerian thought 
E161-S-1997,E,ivil tongues and polite letters in British Ameria 
E161-S-1929,E,Soial fores in Amerian history 
E161-S-1937,E,Ameria : a re-appraisal 
E161-S-1963,E,The Amerian image of the old world 
E161-T-1968,E,Redeemer nation : the idea of Ameria's millennial role 
E161-W-1987,E,The United States : a ompanion to Amerian studies 
E161-W-1960,E,The Jeffersonian tradition in Amerian demoray 
E161-W-1971,E,The myth of the Amerian frontier : its relevane to Ameria
E161-W-1950,E,Soiety and thought in Ameria 
E161-W-1962,E,Soiety and thought in Ameria 
E16112-S-2002,E,The seventies : the great shift in Amerian ulture
E1615-S-2001,E,See Ameria first : tourism and national identity
E1615--1993,E,With women's eyes : visitors to the New World 1775-1918 
E162-A-1927,E,Provinial soiety
E162--1992,E,Atlanti Amerian soieties : from olumbus through abolition 1492-1888 
E162-B-1960,E,ities in the wilderness : the first entury of urban life in Ameria 1625-1742 
E162-B-1961,E,The eyes of disovery : the pageant of North Ameria as seen by the first explorers 
E162-B-1974,E,The new ountry : a soial history of the Amerian frontier
E162-B-1958,E,The Amerians : the olonial experiene 
E162-D-2006,E,A most amazing sene of wonders : eletriity and enlightenment in early Ameria 
E162-D-2004,E,irles and lines : the shape of life in early Ameria 
E162-D-2014,E,Seasons of misery : atastrophe and olonial settlement in early Ameria 
E162-D-1959,E,Journal
E162--1993,E,Diversity and unity in early North Ameria 
E162-D-1937,E,A history of travel in Ameria 
E162-E-1959,E,The transit of ivilization from England to Ameria in the seventeenth entury 
E162-F-1991,E,Albion's seed : four British folkways in Ameria 
E162-G-1903,E,Memoirs of an Amerian lady
E162-G-1993,E,The intelletual onstrution of Ameria : exeptionalism and identity from 1492 to 1800 
E162-G-1963,E,The Amerian olonial mind and the lassial tradition : essays in omparative ulture 
E162-H-1948,E,Gentleman's progress : the Itinerarium of Alexander Hamilton
E162-H-1972,E,Ameria at 1750 : a soial portrait 
E162-J-1986,E,Amerian inarnation : the individual
E162-K-1966,E,The Ameria of 1750 : Peter Kalm's travels in North Ameria 
E162-K-1972,E,People of Paradox : an Inquiry onerning the Origins of Amerian ivilization 
E162-L-2000,E,From olonials to provinials : Amerian thought and ulture
E162-A-1974,E,Materialism and morality in the Amerian past : themes and soures
E162-M-1961,E,Travels in the Amerian olonies 
E162-M-1994,E,Birds of passage : five Englishwomen in searh of Ameria 
E162--1994,E,Of onsuming interests : the style of life in the eighteenth entury 
E162-P-1992,E,Paradox lost : free will and politial liberty in Amerian ulture
E162-P-1929,E,The oming of the white man
E162-R-2005,E,How early Ameria sounded 
E162-R-2004,E,How early Ameria sounded 
E162-S-2004,E,Taverns and drinking in early Ameria 
E162-S-1979,E,Disovering Ameria
E162-S-1959,E,Seventeenth-entury Ameria : essays in olonial history 
E162--2000,E,The way we lived : essays and douments in Amerian soial history 
E162-W-1938,E,The Founding of Amerian ivilization : the Middle olonies 
E162-W-1927,E,The first Amerians 1607-1690 
E162-W-1959,E,The golden age of olonial ulture 
E162-W-1961,E,ulture on the moving frontier 
E162-W-1949,E,The olonial ivilisation of North Ameria 1607-1763 
E162-W-1957,E,The ultural life of the Amerian olonies
E163-A-1992,E,Liberalism and republianism in the historial imagination 
E163-B-1978,E,Providene and patriotism in early Ameria
E163-B-1984,E,otton Mather and Benjamin Franklin : the prie of representative personality 
E163-B-1992,E,The refinement of Ameria : persons
E163-h-1963,E,Travels in North Ameria in the years 1780
E163-o-1977,E,The empire of reason : how Europe imagined and Ameria realized the enlightenment 
E163-r-1912,E,Letters from an Amerian Farmer 
E163-r-1978,E,The divided loyalist : reveoeur's Ameria 
E163-r-1995,E,More letters from the Amerian farmer : an edition of the essays in English
E163-R-1933,E,Le ultivateur ameriain :ude sur l'oeuvre de Saint John de reveoeur 
E163--1991,E,The end of Anglo-Ameria : historial essays in the study of ultural divergene 
E163-F-1982,E,Prodigals and pilgrims : the Amerian revolution against patriarhal authority
E163-G-1943,E,The Revolutionary Generation
E163-G-1992,E,Imperatives
E163-H-1982,E,A Restless People : Amerians in Rebellion
E163-M-1976,E,The demorati enlightenment 
E163-M-1963,E,The new demoray in Ameria : travels of Franiso de Miranda in the United States
E163-S-1984,E,The Frenh Enlightenment in Ameria : essays on the times of the founding fathers 
E1630--2012,E,European disunion : between sovereignty and solidarity 
E164--1976,E,Abroad in Ameria : visitors to the new nation 1776-1914 
E164-A-1955,E,The United States in 1800 
E164-B-1887,E,Retrospetions of Ameria
E164-B-1877,E,Reolletions of Samuel Brek
E164-B-1964,E,New travels in the United States of Ameria
E164-E-1979,E,After the Revolution : Profiles of early Amerian ulture 
E164--1972,E,The European traveller in Ameria : ontained in three letters to his friend in London.
E164-F-1954,E,Jeffersonian Ameria : notes on the United States of Ameria olleted in the years 1805-6-7 and 11-12 
E164-G-1854,E,The republian ourt or Amerian soiety in the days of Washington 
E164-H-1983,E,Revolution and regeneration : life yle and the historial vision of the generation of 1776 
E164-K-1990,E,Orders from Frane : the Amerians and the Frenh in a revolutionary world
E164-K-1944,E,The ompletion of independene
E164-L-1989,E,The reshaping of everyday life
E164-M-2006,E,The ultural roots of Amerian Islamiism 
E164-M-1947,E,Moreau de St Mery's Amerian journey (1793-1798) 
E164-M-2014,E,True yankees : The South Seas and the disovery of Amerian identity 
E164--1991,E,Ameria and the world : diplomay
E164-N-1960,E,The ultural life of the new nation
E164-S-2010,E,This violent empire : the birth of an Amerian national identity 
E164-S-1915,E,Frenh memories of eighteenth-entury Ameria 
E164-S-1985,E,After the Revolution : the Smithsonian history of everyday life in the eighteenth entury 
E164-W-2009,E,Empire of liberty : a history of the early Republi
E164-W-1968,E,Travels through the states of North Ameria 
E165-B-1964,E,The British traveller in Ameria
E165-h-1967,E,Soiety
E165-o-1964,E,A year's Residene in the United States of Ameria ... 
E165-D-0,E,Amerian notes : Pitures from Italy and A hild's history of England 
E165-F-1927,E,The rise of the ommon man
E165-G-1959,E,Aristoray in Ameria : from the sketh-book of a German nobleman 
E165-G-1968,E,The Amerians in their moral
E165-H-1931,E,The aristorati journey : being the outspoken letters of Mrs. Basil Hall written during a fourteen months' sojourn in Ameria
E165-H-1968,E,Men and manners in Ameria 
E165-M-1962,E,A diary in Ameria : with remarks on its institutions 
E165-M-1956,E,Retrospet of western travel. 2v in 1 
E165-M-1966,E,Soiety in Ameria 
E165-M-1991,E,Toward a new soiety : Amerian thought and ulture
E165-N-1986,E,Alternative Amerias : a reading of antebellum politial ulture 
E165-P-1996,E,Toqueville in Ameria 
E165-P-1993,E,Boats against the urrent : Amerian ulture between revolution and modernity
E165-P-1929,E,Three English women in Ameria 
E165-P-1968,E,The happy republi : a reader in Toqueville's Ameria 
E165-R-2001,E,The showman and the slave : rae
E165-R-1949,E,Young Ameria
E165-R-1970,E,Skethes of history
E165-P-1959,E,Toqueville in Ameria 
E165-T-1959,E,Journey to Ameria 
E165-T-1949,E,Domesti manners of the Amerians 
E165-T-1961,E,My native land : life in Ameria
E165-W-1975,E,The mind of Ameria
E165-W-1963,E,Views of soiety and manners in Ameria 
E166--1979,E,Antebellum Amerian ulture : an interpretive anthology 
E166-B-1966,E,The Englishwoman in Ameria 
E166-B-1972,E,Midentury Ameria : life in the 1850s 
E166-B-1959,E,The anatomy of Amerian popular ulture
E166-B-1965,E,The sentimental years
E166-B-1924,E,Ameria of the fifties : letters of Fredrika Bremer 
E166-B-1968,E,The homes of the new world : impressions of Ameria 
E166-o-1934,E,The irrepressible onflit
E166-D-1972,E,Spetator of Ameria 
E166-G-1993,E,A ultural enylopedia of the 1850s in Ameria 
E166-M-1857,E,Lands of the slave and the free
E166-N-1974,E,Soiety and ulture in Ameria
E166-P-1857,E,Unle Sam and his ountry
E166-P-1962,E,Route from Liverpool to Great Salt Lake Valley 
E166-S-2001,E,Listening to nineteenth-entury Ameria 
E166-S-1970,E,Travels in the United States in 1847 
E166-T-1951,E,North Ameria 
E167-A-1951,E,Men of good hope : a story of Amerian progressives 
E167-B-1869,E,The Amerian woman's home : or
E167-B-1926,E,The mauve deade : Amerian life at the end of the nineteenth entury 
E167-B-1865,E,Three years among the working-lasses in the United States during the war 
E167-o-1950,E,The Amerian Mind : an Interpretation of Amerian Thought and harater sine the 1880's 
E167-D-1869,E,New Ameria 
E167-F-1883,E,Some impressions of the United States 
E167-G-1961,E,Amerian soial thought 
E167-G-1965,E,An overland journey from New York to San Franiso in the summer of 1859 
E167-H-1995,E,The response to industrialism 1885-1914 
E167-K-1892,E,King's handbook of the United States 
E167-M-1882,E,Through Ameria : or
E167-M-1890,E,Soiety as I have found it 
E167-N-1927,E,The emergene of modern Ameria
E167-O-1957,E,Orpheus in Ameria : Offenbah's diary of his journey to the New World 
E167-R-1967,E,Lord Rosebery's North Amerian journal
E167-R-1988,E,My diary
E167-S-1882,E,Ameria revisited : from the Bay of New York to the Gulf of Mexio and from Lake Mihigan to the Paifi 
E167-S-1879,E,Through the light ontinent : or
E167-S-1933,E,The rise of the ity
E167-S-1967,E,Popular ulture and industrialism
E167-T-1969,E,Letters from North Ameria and the Paifi
E167-W-1963,E,Beatrie Webb's Amerian diary
E168-A-2007,E,The promised land 
E168-A-1940,E,Sine yesterday : the nineteen-thirties in Ameria
E168-A-1952,E,The big hange : Ameria transforms itself
E168--1992,E,Amerian home life
E168-A-1987,E,The promised land 
E168-B-1993,E,Taylored lives : narrative produtions in the age of Taylor
E168-B-1941,E,U.S.A. : an outline of the ountry
E168-B-1910,E,Home life in Ameria 
E168-l-1964,E,Ameria
E168-D-1944,E,State of the nation 
E168-D-1892,E,The West from a ar-window 
E168-F-1931,E,The quest for soial justie 1898-1914 
E168-F-1961,E,rusaders for Amerian liberalism 
E168-F-1937,E,Great trade route 
E168-F-1947,E,The re-disovery of Ameria : hart for rough water 
E168-F-1974,E,Great times : an informal soial history of the United States
E168-G-1960,E,A mirror for Anglo-Saxons : a disovery of Ameria
E168-H-1969,E,The ultural life of modern Ameria 
E168-H-1913,E,The personality of Amerian ities 
E168-L-1891,E,United States pitures
E168-M-1898,E,The land of ontrasts : a Briton's view of his Amerian kin 
E168-P-1962,E,Patria mia
E168--1982,E,Plain folk : the life stories of undistinguished Amerians 
E168-R-1971,E,Britons view Ameria : travel ommentary
E168-R-1988,E,Skethes of urban and ultural life in North Ameria 
E168-R-1957,E,The era of the mukrakers 
E168-S-1930,E,The great rusade and after
E168-S-1938,E,Ameria now : an inquiry into ivilization in the United States 
E168-S-1922,E,ivilization in the United States 
E168-S-1898,E,The land of the dollar 
E168-W-1940,E,Report on Ameria 
E168-W-1948,E,The age of the great depression
E168-W-1958,E,The Amerian Earthquake : a doumentary of the twenties and thirties 
E168-W-1910,E,The impressions of an Englishman in Ameria 
E169-O-1999,E,Suburbia 
E169-A-1982,E,The People Talk : Amerian Voies from the Great Depression 
E169-B-1966,E,Soures of the Amerian mind : a olletion of douments in Amerian intelletual history 
E169-B-1955,E,God's ountry and mine : a delaration of love spied with a few harsh words 
E169-B-1968,E,Ameria in the sixties : an intelletual history 
E169-B-1967,E,Alarms and diversions : the Amerian mind through Amerian magazines 1900-1914 
E169-B-1952,E,Foreign influenes in Amerian life : essays and ritial bibliographies 
E169-B-1938,E,Thrie a Stranger 
E169-B-1960,E,Ameria in the modern world 
E169-B-1970,E,hallenges in Amerian ulture 
E169-r-1972,E,From self to soiety
E169-a-1965,E,Apostles of the self-made man 
E169-h-1922,E,What I saw in Ameria 
E169-i-1941,E,My Amerian diary 
E169-o-1970,E,The development of an Amerian ulture 
E169-o-1922,E,Amerianism : a world menae 
E169-o-1968,E,Frontiers of Amerian ulture 
E169-o-1951,E,Letters from Ameria 
E169--1953,E,The ultural migration : the European sholar in Ameria 
E169-u-1956,E,Amerian paradox : the onflit of thought and ation 
E169-D-2010,E,The ultural front : the laboring of Amerian ulture in the twentieth entury. 
E169-D-1995,E,The modern temper : Amerian ulture and soiety in the 1920s 
E169-D-1996,E,The ultural front : the laboring of Amerian ulture in the twentieth entury 
E169--1983,E,"Down and out in the Great Depression : letters from the ""forgotten man"" "
E169-D-1963,E,Siene and the emergene of modern Ameria
E169-E-2008,E,Amerian ulture in the 1930s 
E169-E-1966,E,Mirage in the West : a history of the Frenh image of Amerian soiety to 1815 
E169-E-1951,E,The idea of progress in Ameria
E169-E-1963,E,Amerian intelletual history 
E169--1980,E,First-person Ameria 
E169-F-1951,E,U.S.A. : the permanent revolution.
E169-G-1994,E,laims to fame : elebrity in ontemporary Ameria 
E169-G-1960,E,The liberal hour 
E169-G-1963,E,Amerian ideas : soure readings in the intelletual history of the United States 2v 
E169-H-1965,E,The aidental entury 
E169-H-1987,E,From this moment on : Ameria in 1940 
E169-H-1979,E,Dime-store dream parade : popular ulture 1925-1955 
E169-H-1966,E,Religion and the Amerian mind : from the Great Awakening to the Revolution 
E169-H-1967,E,The great awakening : douments illustrating the risis and its onsequenes 
E169-H-1990,E,Blood
E169-J-1993,E,Amerian ivilization 
E169-J-1954,E,Tomorrow is already here : senes from a man-made world 
E169-K-1930,E,Egon Erwin Kish beehrt sih darzubeiten : Paradies Amerika 
E169--1971,E,The ontrapuntal ivilization : essays towards a new understanding of the Amerian experiene 
E169-K-1968,E,The jazz age revisited : British ritiism of Amerian ivilization during the 1920s 
E169-L-1970,E,Essays on Amerian soial history 
E169-L-1949,E,The Amerian demoray : a ommentary and an interpretation 
E169-L-1959,E,The unfinished ountry : a book of Amerian symbols 
E169-M-2007,E,The shape of things to ome 
E169-M-1962,E,The air-onditioned nightmare 
E169-M-1947,E,Remember to remember 
E169-M-1993,E,Walker Evans : the hungry eye 
E169-M-1935,E,A visit to Ameria 
E169-M-1970,E,Readings in intelletual history : the Amerian tradition 
E169-M-1928,E,The great Amerian band wagon 
E169-M-1980,E,Twentieth-entury pessimism and the Amerian dream 
E169-M-1961,E,U.S.A. : a piture tour of Ameria 
E169-M-1956,E,oast to oast 
E169-N-1958,E,The godly and the ungodly : essays on the religious and seular dimensions of modern life 
E169-O-1970,E,Understanding our ulture : an anthropologial view 
E169-P-1955,E,Journey down a rainbow 
E169-R-1960,E,Our times : the best from The Reporter 
E169-R-1932,E,Ameria as Amerians see it 
E169-S-2006,E,Visions of belonging : family stories
E169-S-1962,E,Travels with harley : in searh of Ameria 
E169-S-1961,E,The Quest for Paradise : Europe and the Amerian Moral Imagination 
E169-S-1967,E,The genteel tradition : nine essays 
E169-S-1980,E,The popular mood of pre-ivil War Ameria 
E169-S-1973,E,The End of the Amerian Future 
E169-S-1972,E,The vanishing Amerian : the deline and fall of the white Anglo-Saxon protestant 
E169-S-1928,E,The Ameria of to-day 
E169-S-1966,E,Ameria and Amerians 
E169-V-2009,E,Realism for the masses : aesthetis
E169-W-1950,E,Puritanism in early Ameria 
E169-W-1969,E,Red
E169-W-1941,E,Who are the Amerians 
E169-W-1970,E,The image of man in Ameria 
E16902-B-1953,E,Ameria day by day 
E16902-B-1974,E,Demoray and its disontents : refletions on everyday Ameria 
E16902-B-1970,E,Life in modern Ameria 
E16902-D-1992,E,Storm ountry : a journey to the heart of Ameria 
E16902-F-1983,E,Ameria
E16902-G-1976,E,ultural regions of the United States 
E16902-H-1974,E,Superpower : Ameria in the 1970s 
E16902-H-1972,E,Regions of the United States 
E16902-H-1973,E,Mansapes : an Amerian journey 
E16902-L-2015,E,A nation of neighborhoods : imagining ities
E16902-P-2004,E,Threatening anthropology : Marthyism and the FBI's surveillane of ativist anthropologists 
E16902--2000,E,The seventies : the age of glitter in popular ulture 
E16902--1986,E,Symbolizing Ameria 
E16902-W-1969,E,The Pump House Gang 
E16904--1997,E,Ameria under onstrution : boundaries and identities in popular ulture 
E16904-B-1999,E,Twilight zones : the hidden life of ultural images from Plato to O.J. 
E16904-a-1998,E,Arrested development : pop ulture and the erosion of adulthood 
E16904-o-1993,E,Road sholar : oast to oast late in the entury 
E16904--1996,E,Disiplinarity and dissent in ultural studies 
E16904--1993,E,Distant mirrors : Ameria as a foreign ulture 
E16904-E-2007,E,The end of vitory ulture : old war Ameria and the disillusioning of a generation 
E16904-E-1995,E,The end of vitory ulture : old War Ameria and the disillusioning of a generation 
E16904-F-1994,E,Media matters : everyday ulture and politial hange 
E16904-G-1994,E,Warrior dreams : paramilitary ulture in post-Vietnam Ameria 
E16904-H-1983,E,Blue highways : a journey into Ameria 
E16904-L-1993,E,Highway 50 : ain't that Ameria 
E16904-M-1994,E,As seen on TV : the visual ulture of everyday life in the 1950s 
E16904-M-1996,E,The dustbin of history 
E16904-M-1997,E,elebrity and power : fame in ontemporary ulture 
E16904-P-1997,E,NASA-Trek : popular siene and sex in Ameria 
E16904-R-1994,E,Finitude's sore : essays for the end of the millennium 
E16904-W-1993,E,Into the badlands : travels through urban Ameria 
E1691-A-1976,E,An almost hosen people : the moral aspirations of Amerians 
E1691--2009,E,Ameria through European eyes : British and Frenh refletions on the new world from the eighteenth entury to the present 
E1691--2011,E,The Amerian intelletual tradition.
E1691--1970,E,The plasti age (1917-1930) 
E1691-A-1938,E,My Ameria : 1928-1938 
