Title,ISBN
Conquest : the destruction of the American Indios /,0745640001;9780745640006;074564001X;9780745640013
Spain's empire in the New World : the role of ideas in institutional and social change /,9780520074101;0520074106
"Spain and Portugal and the New World, 1492-1700 /",9780196480466;0196480469
"Spanish explorers in the southern United States, 1528-1543.",
The conquest of America : the question of the other /,9780060151805;0060151803
The conquest of America : the question of the other /,9780061320958;0061320951
The conquest of America : the question of the other /,9780806131375;0806131373
The life of Las Casas /,
"Hernando de Soto : together with an account of one of his captains, Goncalo Silvestre /",
Bartolomé de Las Casas in history: toward an understanding of the man and his work /,9780875809878;0875809871
"The marvellous adventure of Cabeza de Vaca : also, Malinche /",9780285647091;0285647091
"The Hernando de Soto expedition : history, historiography and ""discovery"" in the Southeast /",9780803221574;0803221576
"Early English and French voyages, chiefly from Hakluyt, 1534-1608 /",
"Humanism and America : an intellectual history of English colonisation, 1500-1625 /",9780521822251;0521822254;9780521036184;0521036186
Undreamed shores : England's wasted empire in America /,9780245519826;0245519823
English discovery of America to 1585 /,
"England and the discovery of America, 1481-1620 : from the Bristol voyages of the fifteenth century to the Pilgrim settlement at Plymouth : the exploration, exploitation, and trial-and-error colonization of North America by the English /",
The Elizabethans' America : a collection of early reports by Englishmen on the New World /,
The Elizabethans' America : a collection of early reports by Englishmen on the New World /,
Henry Hudson /,
"The discoverie of the large, rich, and bewtiful Empyre of Guiana /",1849022356;9781849022354
Sir Walter Ralegh's Discoverie of Guiana /,9780904180879;0904180875
"Les nouvelles Frances : France in America, 1500 to 1815 : an imperial perspective /",9780916617325;0916617327
These daring disturbers of the public peace : the struggle for property and power in early New Jersey /,9780812218596;0812218590
Hidden histories of exploration : researching the RGS-IBG Collections /,1905846304;9781905846306
"Discoverers, explorers, settlers : the diligent writers of early America /",9780226260716;0226260712;9780226260723;0226260720
New World encounters /,9780520080201;0520080203;9780520080218;0520080211
Inventing America : Spanish historiography and the formation of Eurocentrism /,9780806125398;080612539X
Atlas of American history /,
Into the American woods : negotiators on the Pennsylvania frontier /,9780393046762;0393046761
"Nicknames and Sobriquets of U.S. Cities, States and Counties /",9780810812550;081081255X
American place-names : a concise and selective dictionary for the continental United States of America /,
Names on the land : a historical account of place-naming in the United States /,
Historical atlas of the United States /,
How to visit America and enjoy it /,
Look at the U.S.A..,
The American Heritage book of great historic places.,
"The United States, with an excursion into Mexico : a handbook for travellers, 1893 /",
America's wonderlands : the scenic national parks and monuments of the United States.,
"Born in the U.S.A. : birth, commemoration, and American public memory /",1558499385;9781558499386;1558499377;9781558499379
The unveiling of the national icons : a plea for patriotic iconoclasm in a nationalist era /,9780521570671;0521570670
Interpreting historic house museums /,0759102503;9780759102507;0759102511;9780759102514
Lies across America : what our historic sites get wrong /,074329629X;9780743296298
Written in stone : public monuments in changing societies /,9780822322207;082232220X
Voices from the back stairs : interpreting servants' lives at historic house museums /,0875806228;9780875806228
Reclaiming the past : landmarks of women's history /,9780253338426;0253338425
Colonials and patriots : historic places commemorating our forebears 1700-1783 /,
"Founders and frontiersmen : historic places commemorating early nationhood and the westward movement, 1783-1828.",
Program of the history of American Indians /,
Program of the history of American Indians /,
Do the Americans have a common history? A critique of the Bolton theory /,
The critical method in historical research and writing /,
A history of American history /,
Historical interpretations and American historianship /,
An American primer /,
An American primer /,9780452009226;0452009227
A history of American life and thought /,
America and the Image of Europe : Reflections on American Thought /,
An American primer /,
American civilization : an introduction to the social sciences /,
American studies in honor of William Kenneth Boyd /,
The polite Americans : 300 years of more or less good behaviour /,
"Life, liberty and the pursuit of happiness : a social history of the United States of America in documents /",
Breakthrough to the Great Society /,
Inventors of the Promised Land /,9780394472638;0394472632
The Americans : a social history of the United States 1587-1914 /,
"The beer can by the highway : essays on what's ""American"" about America /",
America through British eyes /,
The Newberry papers in family and community history : thirteen papers presented at the conference.,
This almost chosen people : essays in the history of American ideas /,
The United States /,
"American reformers, 1870-1920 : progressives in word and deed /",9780742527621;074252762X;9780742527638;0742527638
The American people : their civilization and character /,
America remembers : our best-loved customs and traditions /,
Seeds of liberty : the genesis of the American mind /,
The American as reformer /,
The stammering century /,
"America and her commentators, with a critical sketch of travel in the United States /",
Freedom's ferment : phases of American social history from the colonial period to the outbreak of the Civil War /,9780061310744;0061310743
"The saga of American society : a record of social aspiration, 1607-1937 /",
The future in America : a search after realities /,
The urgent west : an introduction to the idea of the United States /,
America's taste 1851-1959 : the cultural events of a century reported by contemporary observers in the pages of the New York Times /,
Who killed society? /,
Individualism and nationalism in American ideology /,
City on a hill : a history of ideas and myths in America /,
A literary and historical atlas of America /,
The American identity : a college reader /,
Freedom and responsibility in the American way of life /,
The promise of America : an historical enquiry /,
The American adventure : a study of bourgeois civilisation /,
The genius of American politics /,
American themes /,
The American character /,
The American problem /,
The American Idea of Mission : Concepts of National Purpose and Destiny /,
Their majesties the mob /,
The democratic vista : a dialogue on life and letters in contemporary America /,
Europe views America : a critical evaluation /,
American thought : a critical sketch /,
Living ideas in America /,
The art of democracy : a concise history of popular culture in the United States /,9780853459200;0853459207
The growth of American thought /,9780878558797;0878558799
A history of recreation : America learns to play /,
"America learns to play : a history of popular recreation, 1607-1940 /",
Inventing American tradition : from the Mayflower to Cinco de Mayo /,9781780239866;1780239866
The decline of American liberalism /,
Our America /,
The Pageant of America : a Pictorial History of the United States /,
The Pageant of America : a Pictorial History of the United States /,
The Pageant of America : a Pictorial History of the United States /,
The Pageant of America : a Pictorial History of the United States /,
The Pageant of America : a Pictorial History of the United States /,
The course of American democratic thought /,
Socialism and the American spirit /,
"Their brothers' keepers : moral stewardship in the United States, 1800-1865 /",
Crisis of the American mind /,
The dimensions of liberty /,
This was America /,
"America and French culture, 1750-1848 /",
O strange new world : American culture : the formative years /,
The pursuit of happiness /,
Cultural pluralism and the American idea : an essay in social philosophy /,
American nationalism : an interpretative essay /,
The machine in the garden : technology and the pastoral ideal in America /,9780195007381;0195007387
The machine in the garden : technology and the pastoral ideal in America /,9780195133509;0195133501;9780195133516;019513351X
Material culture : a research guide /,9780700602759;0700602755
Errand into the wilderness /,0674261550;9780674261556
The life of the mind in America : from the Revolution to the Civil War /,9780156519908;0156519909
Manifest destiny and mission in American history : a reinterpretation /,
Nature's nation /,9780674605503;0674605500
The American temper : patterns of our intellectual heritage /,
The golden day : a study in American experience and culture /,
The irony of American history /,
The American experience : an interpretation of the history and civilization of the American people /,
"Radicalism and reform : the Vrooman family and American social thought, 1837-1937 /",
Puritanism and democracy /,
Johnny Appleseed : man and myth /,
"Santayana on America : essays, notes and letters on American life, literature and philosophy /",
Paths of American thought /,
Civil tongues and polite letters in British America /,9780807823514;0807823511
Social forces in American history /,
America : a re-appraisal /,
Intellectual history in America /,
The American image of the old world /,
Redeemer nation : the idea of America's millennial role /,
The United States : a companion to American studies /,9780416415001;0416415008
The Jeffersonian tradition in American democracy /,
"The myth of the American frontier : its relevance to America, Canada and Australia /",9780718511104;0718511107
Society and thought in America /,
Society and thought in America /,
"The seventies : the great shift in American culture, society, and politics /",030681126X;9780306811265
"See America first : tourism and national identity, 1880-1940 /",9781560989530;156098953X;9781560989769;1560989769
With women's eyes : visitors to the New World 1775-1918 /,9780208023711;0208023712
"Provincial society, 1690-1763 /",
Atlantic American societies : from Columbus through abolition 1492-1888 /,9780415080736;0415080738
Cities in the wilderness : the first century of urban life in America 1625-1742 /,
The eyes of discovery : the pageant of North America as seen by the first explorers /,
"The new country : a social history of the American frontier, 1776-1890 /",
The Americans : the colonial experience /,
"Travels through the middle settlements in North-America in the years 1759 and 1760, with observations upon the state of the colonies /",
A most amazing scene of wonders : electricity and enlightenment in early America /,9780674022997;0674022998
Circles and lines : the shape of life in early America /,9780674013247;0674013247
Seasons of misery : catastrophe and colonial settlement in early America /,0812245407;9780812245400
"Journal, 1679-1680 /",
Diversity and unity in early North America /,9780415087995;0415087996
A history of travel in America /,
The transit of civilization from England to America in the seventeenth century /,
Albion's seed : four British folkways in America /,9780195069051;0195069056
"Memoirs of an American lady, with sketches of manners and scenes in America as they existed previous to the Revolution, with unpublished letters and a memoir of Mrs. Grant by James Grant Wilson /",
The intellectual construction of America : exceptionalism and identity from 1492 to 1800 /,9780807820971;0807820970
The American colonial mind and the classical tradition : essays in comparative culture /,
"Gentleman's progress : the Itinerarium of Alexander Hamilton, 1744 /",
America at 1750 : a social portrait /,9780394717951;0394717953;9780224007108;0224007106
"American incarnation : the individual, the nation, and the continent /",9780674024267;0674024265
The America of 1750 : Peter Kalm's travels in North America /,
People of Paradox : an Inquiry Concerning the Origins of American Civilization /,9780394719337;0394719336;9780394460772;0394460774
"From colonials to provincials : American thought and culture, 1680-1760 /",9780801487019;0801487013
"Materialism and morality in the American past : themes and sources, 1680-1860 /",
Travels in the American Colonies /,
Birds of passage : five Englishwomen in search of America /,9780715624296;0715624296
Of consuming interests : the style of life in the eighteenth century /,9780813914138;0813914132
"Paradox lost : free will and political liberty in American culture, 1630-1760 /",9780801843341;0801843340
"The coming of the white man, 1492-1848 /",
How early America sounded /,0801472725;9780801472725
How early America sounded /,9780801441264;0801441269
Taverns and drinking in early America /,9780801878992;0801878993
"Discovering America, 1700-1875 /",9780060137823;0060137827
Seventeenth-century America : essays in colonial history /,
The way we lived : essays and documents in American social history /,9780395959602;0395959608
The way we lived : essays and documents in American social history /,9780395959619;0395959616
The Founding of American Civilization : the Middle Colonies /,
The first Americans 1607-1690 /,
The golden age of colonial culture /,
Culture on the moving frontier /,
The Atlantic frontier : colonial American civilization 1607-1763 /,
The colonial civilisation of North America 1607-1763 /,
"The cultural life of the American colonies, 1607-1763 /",
Liberalism and republicanism in the historical imagination /,9780674530133;0674530136
"Providence and patriotism in early America, 1640-1815 /",9780813907796;0813907799
Cotton Mather and Benjamin Franklin : the price of representative personality /,9780521267687;0521267684
"The refinement of America : persons, houses, cities /",9780394550107;0394550102
"Travels in North America in the years 1780, 1781 and 1782 /",
The empire of reason : how Europe imagined and America realized the enlightenment /,9780297774211;0297774212
Letters from an American Farmer /,
The divided loyalist : Crevecoeur's America /,
"More letters from the American farmer : an edition of the essays in English, left unpublished by Crevecoeur /",9780820315997;0820315990
Le cultivateur americain : etude sur l'oeuvre de Saint John de Crevecoeur /,
The end of Anglo-America : historical essays in the study of cultural divergence /,9780719030772;0719030773
"Prodigals and pilgrims : the American revolution against patriarchal authority, 1750-1800 /",9780521237192;052123719X
"The Revolutionary Generation, 1763-1790 /",
"Imperatives, behaviors, and identities : essays in early American cultural history /",9780813914060;081391406X
"A Restless People : Americans in Rebellion, 1770-1787 /",9780385061025;0385061021
The democratic enlightenment /,9780399116865;0399116869
"The new democracy in America : travels of Francisco de Miranda in the United States, 1783-84 /",
The French Enlightenment in America : essays on the times of the founding fathers /,9780820307213;0820307211
European disunion : between sovereignty and solidarity /,0230367739;9780230367739
Abroad in America : visitors to the new nation 1776-1914 /,9780201000313;0201000318
The United States in 1800 /,
"Retrospections of America, 1797-1811 /",
"Recollections of Samuel Breck, with passages from his note-books, 1771-1862 /",
"New travels in the United States of America, 1788 /",
After the Revolution : Profiles of early American Culture /,9780393012538;0393012530
The European traveller in America : contained in three letters to his friend in London.,
Jeffersonian America : notes on the United States of America collected in the years 1805-6-7 and 11-12 /,
The republican court or American society in the days of Washington /,
Revolution and regeneration : life cycle and the historical vision of the generation of 1776 /,9780820306674;0820306673
"Orders from France : the Americans and the French in a revolutionary world, 1780-1820 /",9780812213287;0812213289
"The completion of independence, 1790-1830 /",
"The reshaping of everyday life, 1790-1840 /",9780060916060;0060916060
The cultural roots of American Islamicism /,0521852935;9780521852937;052161807X;9780521618076
Moreau de St Mery's American journey (1793-1798) /,
True yankees : The South Seas and the discovery of American identity /,1421415429;9781421415420
"America and the world : diplomacy, politics, and war /",9780815304449;0815304447
"American culture, 1776-1815 /",9780815304470;0815304471
"American society, 1776-1815 /",9780815304463;0815304463
Congress and the Confederation /,9780815304395;0815304390
Establishing the new regime : the Washington administration /,9780815304425;0815304420
Federalists and republicans /,9780815304432;0815304439
"Ratifying, amending, and interpreting the Constitution /",9780815304418;0815304412
State and local politics in the new nation /,9780815304456;0815304455
The Federal Constitution /,9780815304401;0815304404
The Revolution in American thought /,9780815304364;0815304366
"The cultural life of the new nation, 1776-1830 /",
This violent empire : the birth of an American national identity /,0807832960;9780807832967
French memories of eighteenth-century America /,
After the Revolution : the Smithsonian history of everyday life in the eighteenth century /,9780394543819;0394543815
"Empire of liberty : a history of the early Republic, 1789-1815 /",0195039149;9780195039146
Travels through the states of North America /,
"The British traveller in America, 1836-1860 /",
"Society, manners, and politics in the United States : letters on North America /",
A year's Residence in the United States of America ... /,
American notes : Pictures from Italy and A child's history of England /,
"The rise of the common man, 1830-1850 /",
Aristocracy in America : from the sketch-book of a German nobleman /,
"The Americans in their moral, social, and political relations /",
"The aristocratic journey : being the outspoken letters of Mrs. Basil Hall written during a fourteen months' sojourn in America, 1827-1828 /",
Men and manners in America /,
A diary in America : with remarks on its institutions /,
Retrospect of western travel. 2v in 1 /,
Society in America /,
Society in America /,
"Toward a new society : American thought and culture, 1800-1830 /",9780805790528;0805790527
Alternative Americas : a reading of antebellum political culture /,9780226595108;0226595102
Tocqueville in America /,0801855063;9780801855061
"Boats against the current : American culture between revolution and modernity, 1820-1860 /",9780195060911;0195060911
Three English women in America /,
The happy republic : a reader in Tocqueville's America /,
"The showman and the slave : race, death, and memory in Barnum's America /",9780674006362;0674006364
"Young America, 1830-1840 /",
"Sketches of history, life and manners, in the United States, by a traveller /",
Tocqueville in America /,
Journey to America /,
Domestic manners of the Americans /,
"My native land : life in America, 1790-1870 /",
"The mind of America, 1820-1860 /",9780231029636;0231029632
Views of society and manners in America /,
Antebellum American culture : an interpretive anthology /,9780669014761;0669014761
The Englishwoman in America /,
Midcentury America : life in the 1850s /,9780809305629;0809305623
"The anatomy of American popular culture, 1840-1861 /",
"The sentimental years, 1836-1860 /",
America of the fifties : letters of Fredrika Bremer /,
The homes of the new world : impressions of America /,
"The irrepressible conflict, 1850-1865 /",
Spectator of America /,9780575014015;0575014016
A cultural encyclopedia of the 1850s in America /,9780313285240;0313285241
"Lands of the slave and the free, or, Cuba, the United States and Canada /",
"Society and culture in America, 1830-1860 /",
"Uncle Sam and his country, or, Sketches of America, in 1854-55-56 /",
Route from Liverpool to Great Salt Lake Valley /,
Listening to nineteenth-century America /,9780807826577;080782657X;9780807849828;0807849820
Travels in the United States in 1847 /,9780691046020;0691046026
North America /,
Men of good hope : a story of American progressives /,
"The American woman's home : or, Principles of domestic science ; being a guide to the formation and maintenance of economical, healthful, beautiful, and Christian homes /",
The mauve decade : American life at the end of the nineteenth century /,
Three years among the working-classes in the United States during the war /,
The American Mind : an Interpretation of American Thought and Character since the 1880's /,
New America /,
Some impressions of the United States /,
American social thought /,
An overland journey from New York to San Francisco in the summer of 1859 /,
The response to industrialism 1885-1914 /,9780226321639;0226321630
King's handbook of the United States /,
"Through America : or, nine months in the United States /",
Society as I have found it /,
"The emergence of modern America, 1865-1878 /",
Orpheus in America : Offenbach's diary of his journey to the New World /,
"Lord Rosebery's North American journal, 1873 /",
"My diary, North and South /",9780877225225;0877225222
America revisited : from the Bay of New York to the Gulf of Mexico and from Lake Michigan to the Pacific /,
"Through the light continent : or, The United States in 1877-8 /",
"The rise of the city, 1878-1898 /",
"Popular culture and industrialism, 1865-1890 /",
"Letters from North America and the Pacific, 1898 /",
"Beatrice Webb's American diary, 1898 /",
The promised land /,0136011411;9780136011415
"Since yesterday : the nineteen-thirties in America, September 3 1929- September 3 1939 /",
"The big change : America transforms itself, 1900-1950 /",
"American home life, 1880-1930 : a social history of spaces and services /",9780870497599;0870497596
The last resorts /,
The promised land /,9780405128189;0405128185
"Taylored lives : narrative productions in the age of Taylor, Veblen, and Ford /",9780226037011;0226037010;9780226037028;0226037029
"U.S.A. : an outline of the country, its people and institutions /",
Home life in America /,
"America, their America /",
State of the nation /,
The West from a car-window /,
The quest for social justice 1898-1914 /,
Crusaders for American liberalism /,
Great trade route /,
The re-discovery of America : chart for rough water /,
"Great times : an informal social history of the United States, 1914-1929 /",9780399113819;0399113819
"A mirror for Anglo-Saxons : a discovery of America, and a rediscovery of England /",
The cultural life of modern America /,
America 1968 : the fire this time /,
The personality of American cities /,
"United States pictures, drawn with pen and pencil /",
The land of contrasts : a Briton's view of his American kin /,
"Patria mia, and The treatise on harmony /",
Plain folk : the life stories of undistinguished Americans /,9780252008849;0252008847
"Britons view America : travel commentary, 1860-1935 /",
Sketches of urban and cultural life in North America /,9780813513270;0813513278
The era of the muckrakers /,
"The great crusade and after, 1914-1928 /",
America now : an inquiry into civilization in the United States /,
Civilization in the United States /,
The land of the dollar /,
Report on America /,
"The age of the great depression, 1929-1941 /",
The American Earthquake : a documentary of the twenties and thirties /,
The impressions of an Englishman in America /,
Suburbia /,9781881270409;1881270408
The People Talk : American Voices from the Great Depression /,9780671438098;0671438093
Sources of the American mind : a collection of documents in American intellectual history /,
God's country and mine : a declaration of love spiced with a few harsh words /,
America in the sixties : an intellectual history /,
Alarms and diversions : the American mind through American magazines 1900-1914 /,
Foreign influences in American life : essays and critical bibliographies /,
Thrice a Stranger /,
America in the modern world /,
Challenges in American culture /,
New voices in American studies /,
"From self to society, 1919-1941 /",9780133314212;0133314219;9780133314137;0133314138
Apostles of the self-made man /,9780226098647;0226098648
What I saw in America /,
My American diary /,
The development of an American culture /,
Americanism : a world menace /,
Frontiers of American culture /,
Letters from America /,
The cultural migration : the European scholar in America /,
American paradox : the conflict of thought and action /,
The cultural front : the laboring of American culture in the twentieth century. /,1844674649;9781844674640
The modern temper : American culture and society in the 1920s /,9780809069781;0809069784;9780809015665;0809015668
The cultural front : the laboring of American culture in the twentieth century /,9781859848159;185984815X
"Down and out in the Great Depression : letters from the ""forgotten man"" /",9780807815342;0807815349
"Science and the emergence of modern America, 1865-1916 /",
American culture in the 1930s /,0748622586;9780748622580;0748622594;9780748622597
Mirage in the West : a history of the French image of American society to 1815 /,
"The idea of progress in America, 1815-1860 /",
American intellectual history /,
First-person America /,9780394413976;0394413970
U.S.A. : the permanent revolution.,
Claims to fame : celebrity in contemporary America /,9780520083530;0520083539
The liberal hour /,
American ideas : source readings in the intellectual history of the United States 2v /,
The accidental century /,
From this moment on : America in 1940 /,9780517557419;051755741X
Dime-store dream parade : popular culture 1925-1955 /,9780525181507;0525181504
Religion and the American mind : from the Great Awakening to the Revolution /,
The great awakening : documents illustrating the crisis and its consequences /,
"Blood, class and nostalgia : Anglo-American ironies /",9780701133610;0701133619
American civilization /,9780631189084;0631189084
Tomorrow is already here : scenes from a man-made world /,
Egon Erwin Kisch beehrt sich darzubeiten : Paradies Amerika /,
The contrapuntal civilization : essays towards a new understanding of the American experience /,9780690215458;0690215452
The jazz age revisited : British criticism of American civilization during the 1920s /,
Essays on American social history /,
The American democracy : a commentary and an interpretation /,
The unfinished country : a book of American symbols /,
The shape of things to come /,0571221572;9780571221578
The air-conditioned nightmare /,
Remember to remember /,
Walker Evans : the hungry eye /,9780500541838;0500541833
A visit to America /,
Readings in intellectual history : the American tradition /,
The great American band wagon /,
Twentieth-century pessimism and the American dream /,9780313221224;0313221227
U.S.A. : a picture tour of America /,
Coast to coast /,
The godly and the ungodly : essays on the religious and secular dimensions of modern life /,
Understanding our culture : an anthropological view /,
Journey down a rainbow /,
Our times : the best from The Reporter /,
America as Americans see it /,
"Visions of belonging : family stories, popular culture, and postwar democracy, 1940-1960 /",0231121717;9780231121712
Travels with Charley : in search of America /,
The Quest for Paradise : Europe and the American Moral Imagination /,
The genteel tradition : nine essays /,
The popular mood of pre-Civil War America /,9780313210563;031321056X
The End of the American Future /,
The vanishing American : the decline and fall of the white Anglo-Saxon protestant /,9780575013971;0575013974
The America of to-day /,
America and Americans /,
"Realism for the masses : aesthetics, popular front pluralism, and U.S. culture, 1935-1947 /",1604731230;9781604731231
Puritanism in early America /,
"Red, white, and blue : men, books and ideas in American culture /",
Who are the Americans? /,
The image of man in America /,
America day by day /,
Democracy and its discontents : reflections on everyday America /,
Life in modern America /,
Storm country : a journey to the heart of America /,9780434179091;0434179094
"America, Americans /",9780002165198;0002165198
Cultural regions of the United States /,9780295954264;0295954264
Superpower : America in the 1970s /,
Regions of the United States /,
Manscapes : an American journey /,9780233960548;0233960546
"A nation of neighborhoods : imagining cities, communities, and democracy in postwar America /",9780226073989;022607398X;9780226290317;022629031X
Threatening anthropology : McCarthyism and the FBI's surveillance of activist anthropologists /,9780822333265;0822333260;9780822333388;0822333384
The seventies : the age of glitter in popular culture /,9780415925341;0415925347;9780415925358;0415925355
Symbolizing America /,9780803296039;0803296037
The Pump House Gang /,
America under construction : boundaries and identities in popular culture /,9780815328414;0815328419
Twilight zones : the hidden life of cultural images from Plato to O.J. /,9780520211025;0520211022
Arrested development : pop culture and the erosion of adulthood /,9780304339556;0304339555
Road scholar : coast to coast late in the century /,9781562828783;1562828789
Disciplinarity and dissent in cultural studies /,9780415913720;0415913721
Distant mirrors : America as a foreign culture /,9780534176761;0534176763
The end of victory culture : cold war America and the disillusioning of a generation /,155849586X;9781558495869
The end of victory culture : Cold War America and the disillusioning of a generation /,9780465019847;0465019846
Media matters : everyday culture and political change /,9780816624621;0816624623
Warrior dreams : paramilitary culture in post-Vietnam America /,9780809096664;0809096668
Blue highways : a journey into America /,9780436284595;0436284596
Highway 50 : ain't that America /,9781555910730;1555910734
As seen on TV : the visual culture of everyday life in the 1950s /,9780674048829;0674048822;9780674048836;0674048830
Mass culture and everyday life /,9780415916745;0415916747;9780415916752;0415916755
The dustbin of history /,9780330338271;0330338277
Celebrity and power : fame in contemporary culture /,9780816627257;0816627258;9780816627240;081662724X
NASA-Trek : popular science and sex in America /,9780860916178;0860916170
Finitude's score : essays for the end of the millennium /,9780803239111;0803239114
Into the badlands : travels through urban America /,9780586090183;0586090185
An almost chosen people : the moral aspirations of Americans /,9780268005818;0268005818
America through European eyes : British and French reflections on the new world from the eighteenth century to the present /,0271033908;9780271033907
American studies : an anthology /,1405113510;9781405113519;1405113529;9781405113526
The American intellectual tradition.,0195392930;9780195392937
The plastic age (1917-1930) /,9780807605714;0807605719;9780807605707;0807605700
My America : 1928-1938 /,
What is America? /,
America's continuing revolution : an act of conservation /,9780844713175;0844713171
American and European national identities : faces in the mirror /,9781853311338;1853311332
American culture : an anthology of civilization texts /,9780415124409;0415124409
"American culture : creolized, creolizing /",9789150607147;9150607146
American social character : modern interpretations from the '40s to the present /,9780064388771;0064388778;9780064309790;0064309797
Americana : essays in memory of Marcus Cunliffe /,9780859586702;0859586707
The American 1890s : a cultural reader /,9780822324768;0822324768;9780822325123;0822325128
"The American Columbiad : ""discovering"" America, inventing the United States /",9789053834237;9053834230
The American Culture /,
The American Culture /,
The American century : consensus and coercion in the projection of American power /,9780631212225;0631212221
The American culture /,
The American culture /,
The American culture /,9780807606179;0807606170
"The American self : myth, ideology and popular culture /",9780826306463;0826306462
The Americans : ways of life and thought /,
Approach to America /,
The broken covenant : American civil religion in time of trial /,9780816411610;0816411611
The Americans : the democratic experience /,9781842120743;1842120743
"The image, or, What happened to the American dream /",
Matters of gravity : special effects and supermen in the 20th century /,0822331322;9780822331322;0822331195;9780822331193
"Halfway to revolution : investigation and crisis in the work of Henry Adams, William James and Gertrude Stein /",9780300047295;0300047290
American convictions : cycles of public thought 1600-1850 /,
Fleeting moments : nature and culture in American history /,9780195062960;0195062965
The Contrast /,
The nickel and dime decade : American popular culture during the 1930s /,9780275943950;027594395X
Modular America : cross-cultural perpsectives on the emergence of an American way /,9780313263170;0313263175
American civilization /,9780500040119;0500040117
The Americans : the democratic experience /,
The exploring spirit : America and the world experience /,9780563170969;0563170964
The image : a guide to pseudo-events in America /,9780689702808;0689702809
American culture and society since the 1930s /,9780333294130;0333294130
America through foreign eyes : classic interpretations of American political life /,9780195412291;019541229X
Made in America /,
America through the looking glass : a historical reader in popular culture /,
Yesterday's tomorrows : past visions of the American future /,9780801853999;0801853990
Fitzgerald and the Jazz Age /,
The quest for conformity : Americanization through education /,9780471134923;0471134929
Another part of the twenties /,9780231041348;0231041349
Revolt against destiny : an intellectual history of the United States /,9780231066167;0231066163
America in the twenties and thirties : the Olympian age of Franklin Delano Roosevelt /,9780814714133;0814714137
The character of Americans : a book of readings /,
The overseas Americans /,
Rebellion against Victorianism : the impetus for cultural change in 1920s America /,9780195045932;0195045939
Challenges to American values /,9780195035346;0195035348
A companion to American thought /,9781557862686;1557862680
America in Perspective : the United States through Foreign Eyes /,
"Reluctant modernism : American thought and culture, 1880-1900 /",9780805790597;0805790594
"The culture of consumption : critical essays in American history, 1880-1980 /",9780394716114;0394716116
