type,classmark,name
object,JE 1120,"Governments in international life, diplomacy and diplomatic status"
object,JE 1130,"Individuals in international life, private international law (conflict of laws)"
object,JE 1140,Law of war and international criminal jurisdiction
object,JE 1150,"Genocide, war crimes"
object,JE 1170,"Neutrality (legal aspects in time of war, as distinct from neutralism, meaning non- alignism)"
object,JE 1200,"International community, world government: general, global governance, supranationalism"
object,JE 1210,International civil service 1300 United Nations: general
object,JE 1310,"United Nations: organisation, functions, Security Council, Secretary General, veto"
object,JE 1320,Admission to membership
object,JE 1330,General Assembly
object,JE 1340,Relations with national states
object,JE 1350,"International Court of Justice, international tribunals, mediation"
object,JE 1360,International Criminal Court
object,JE 1400,Special agencies: general
object,JE 1411,F.A.O.
object,JE 1412,International Maritime Consultative Organisation
object,JE 1414,I.L.O.
object,JE 1416,UNESCO
object,JE 1417,UNICEF
object,JE 1418,W.H.O.
object,JE 1500,Tasks of international organisations: general
object,JE 1510,"Maintenance of peace, collective security, arbitration"
object,JE 1520,"Disarmament, relative balance of nuclear power"
object,JE 1530,Development of international law
object,JE 1540,Human rights (see also JC 4100) and generally prefer JC
object,JE 1550,Technical assistance
object,JE 1560,Trusteeship
object,JE 1600,Other inter-governmental organisations
object,JE 1610,"Inter-American system, Organisation of American States"
object,JE 1620," Atlantic Community, NATO"
object,JE 1621, Commonwealth
object,JE 1625,Organisation of African Unity
object,JE 1630," European economic integration, EEC, EFTA (cf. HZ 12452 for economic aspects) EC/EU"
object,JE 1631," Council of Europe, European Parliament, Court of Justice of the European Communities. For justice, home affairs and “Third Pillar” see KJE 97"
object,JE 1633, Coal and Steel Community
object,JE 1634, Nordic Council
object,JE 1636,Euratom 1640 Arab League
object,JE 1650,"SEATO, CENTO, ANZUS"
object,JE 1700,International non-governmental organisations
object,JE 2000,International relations
object,JE 2080,"Conflict theory, game theory"
object,JE 2090,"Alliance and coalition theory, risk management, bargaining theory"
object,JE 2200,International relations systems: general histories of development 2210 International relations before 1919
object,JE 2220,International relations 1919-1945
object,JE 2230,League of Nations: functions and history
object,JE 2240, International relations after 1945 Special topics
object,JE 2241, The West
object,JE 2242, Soviet bloc
object,JE 2243," Third world, neutralism, non-alignment"
object,JE 2244, East-West relations: general
object,JE 2245," Peaceful coexistence, détentea"
object,JE 2246, Antarctica
object,JE 2300,"Foreign policy (obsolete, class instead in history. Materials here should be reclassified, when possible)"
object,JE 2500,"Civil war, internal, insurrectionary guerrilla war, terrorism"
class,JF ,Political change and development
object,JF 000,General and comparative
object,JF 10,Periodicals
object,JF 100-900,By area (state politics e.g. JF 210)
